ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,"Método de Verificacion calibracion",Error de equipo,,Resolucion,,N° de Serie,"ID de equipo con el que se verifica / Calibra  ",Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Vigente,Calibración Vencida,En Proceso de Calibración,,Buscar,27-05-21,>=,20/05/2021,07/05/2021,>=44323.4489422454,27/05/2021,>=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT027,Calibrador digital,29/06/2020,29/06/2021,09/06/2021,Activo,INTERNO,".0005""",".0005""",0,"6""",623297,INT062,Santos Mata ,Santos Mata ,Taller Estampados,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador digital,#VALUE!,#VALUE!,R&R Actualizado,,44004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT028,Micrómetro ,13/05/2021,13/05/2022,23/04/2022,Activo,INTERNO,".0005""",".0005""",0,"1""",0500969,INT062,Santos Mata ,Santos Mata ,Taller Estampados,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,Micrómetro ,#VALUE!,#VALUE!,R&R Actualizado,,44322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT029,Micrómetro análogo,22/04/2021,22/04/2022,02/04/2022,Activo,INTERNO,".0005""",".0005""","0""","1""",67156874,INT062,Santos Mata ,Santos Mata ,Taller Estampados,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,Micrómetro análogo,#VALUE!,#VALUE!,R&R Actualizado,,44301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT030,Micrómetro ,13/07/2020,13/07/2021,23/06/2021,Baja,INTERNO,".0005""",".0005""","0""","1""",95042361,INT062,Guillermo Alcantar,Guillermo Alcantar,Taller  Moldeo,N/A,,Baja,,,0,1,365.00,365.00,,Micrómetro ,#VALUE!,#VALUE!,R&R Actualizado,,44018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT031,Calibrador,05/02/2021,05/02/2022,16/01/2022,Activo,INTERNO,".0005""",".0005""","0""","8""",10103240,INT062,Jorge Albarran,Jorge Albarran,Taller  Moldeo,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador,#VALUE!,#VALUE!,R&R Actualizado,,44225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT032,Calibrador dig.,28/01/2021,28/01/2022,08/01/2022,Activo,INTERNO,".0005""",".0005""","0""","6""",7582761,INT062,Fernando Alferez ,Fernando Alferez ,EDM'S ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador dig.,#VALUE!,#VALUE!,R&R Actualizado,,44217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT033,Micrómetro Digital,30/11/2020,30/11/2021,10/11/2021,Activo,INTERNO,".0005""",".0005""","0""","1""",45075929,INT062,Raul Cadena,Raul Cadena,EDM'S,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro Digital,#VALUE!,#VALUE!,R&R Actualizado,,44158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT039,Calibrador,23/04/2020,23/04/2021,03/04/2021,Baja,INTERNO,".0005""",".0005""","0""","8""",9006652,INT062,Guillermo Alcantar,Guillermo Alcantar,TALLER,N/A,,Baja,,,0,1,365.00,365.00,,Calibrador,#VALUE!,#VALUE!,R&R Actualizado,,43937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT040,Calibrador,03/08/2020,03/08/2021,14/07/2021,Activo,INTERNO,".0005""",".0005""","0""","6""",110082474,INT062,Arturo Gonzalez,Arturo Gonzalez,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador,#VALUE!,#VALUE!,R&R Actualizado,,44039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT042,Micrómetro ,03/08/2020,03/08/2021,14/07/2021,Activo,INTERNO,".0002""",".0002""","0""","1""",95033887,INT062,Alfredo Enriquez ,Alfredo Enriquez ,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro ,#VALUE!,#VALUE!,R&R Actualizado,,44039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT043,Micrómetro ,16/07/2020,16/07/2021,26/06/2021,Activo,INTERNO,".0005""",".0005""","0""","1""",67206510,INT062,Abiu Esparza,Abiu Esparza,Ingenieria,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro ,#VALUE!,#VALUE!,R&R Actualizado,,44021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT044,Calibrador,16/07/2020,16/07/2021,26/06/2021,Activo,INTERNO,".0005""",".0005""","0""","6""",7016404,INT062,Abiu Esparza,Abiu Esparza,Ingenieria,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador,#VALUE!,#VALUE!,R&R Actualizado,,44021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT045,COMPARADOR OPTICO,09/09/2019,09/09/2020,20/08/2020,Baja,EXTERNO,".0002""",".0002""","4""","8""",270034915,CERTIFICADO,Arturo Gonzalez y Blas Castañeda,Arturo Alvarez y Blas Castañeda,Tool Prep-Area Planta Tecnology,N/A,,Baja,,,0,1,366.00,365.00,,COMPARADOR OPTICO,#VALUE!,#VALUE!,R&R Actualizado,,43710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT047,COMPARADOR OPTICO,11/03/2021,12/03/2022,20/02/2022,Activo,EXTERNO,NA,NA,n,,60077,CERTIFICADO,Taller,Santos Mata y Oscar Galindo,Taller ,N/A,OK,Calibración Vigente,,FLOME,0,1,366.00,365.00,,COMPARADOR OPTICO,#VALUE!,#VALUE!,R&R Actualizado,,44259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT052,CALIBRADOR,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,".0005""",".0005""","0""","6""",6225042,INT062,Diego Molina,Diego Molina,Ingeniería,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,CALIBRADOR,#VALUE!,#VALUE!,R&R Actualizado,,44298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT053,Calibrador digital,15/01/2021,15/01/2022,26/12/2021,Activo,INTERNO,".0005""",".0005""","0""","8""",50019720,INT062,Metrologia,Metrologia,Metrologia,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador digital,#VALUE!,#VALUE!,R&R Actualizado,,44204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT058,INDICADOR,04/02/2021,04/02/2022,15/01/2022,Activo,INTERNO,".0001""",".0001""","0""",".0001""",LSP554,INT062,uso general,Santos Mata y Oscar Galindo,CUARTO DE EDM's,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,INDICADOR,#VALUE!,#VALUE!,R&R Actualizado,,44224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT062,BLOQUES PATRON,05/04/2021,05/04/2022,16/03/2022,Activo,EXTERNO,.0005¨,.0005¨,0.0625,"2""",9300,CERTIFICADO,CALIDAD,Juan Diaz,Metrologia,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,,,BLOQUES PATRON,#VALUE!,#VALUE!,R&R Actualizado,,44284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT063,Calibrador Dig.,18/09/2020,18/09/2021,29/08/2021,Activo,INTERNO,.0005¨,.0005¨,0,6¨,09004652,INT062,Francisco Rodriguez,Francisco Rodriguez,Automatización ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Calibrador Dig.,#VALUE!,#VALUE!,R&R Actualizado,,44085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT066, SMART SCOPE,29/09/2020,29/09/2021,09/09/2021,Activo,EXTERNO,0.0001,0.0001,0,200,SVL2003186,CERTIFICADO,Laboratorio,Juan Diaz/Adela Flores,Metrología ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40848,31 de October del 2012,R&R Pendiente,R&R Actualizado,,44096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT068,Micrómetro análogo,30/01/2021,30/01/2022,10/01/2022,Activo,INTERNO,".0001""",".0001""","0""","1""",0068366,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40850,2 de November del 2012,R&R Pendiente,R&R Actualizado,,44219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT069,Micrómetro análogo,30/01/2021,30/01/2022,10/01/2022,Activo,INTERNO,".0001""",".0001""","1""","2""",(103-136)0084689,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40851,3 de November del 2012,R&R Pendiente,R&R Actualizado,,44219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT070,Micrómetro análogo,30/01/2021,30/01/2022,10/01/2022,Activo,INTERNO,".0001""",".0001""","2""","3""",76814,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT071,Micrómetro análogo,29/01/2021,29/01/2022,09/01/2022,Activo,INTERNO,".0001""",".0001""","3""","4""",87271,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40862,14 de November del 2012,R&R Pendiente,R&R Actualizado,,44218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT072,Micrómetro análogo,29/01/2021,29/01/2022,09/01/2022,Activo,INTERNO,".0001""",".0001""","4""","5""",62292,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,Micrómetro análogo,#VALUE!,#VALUE!,R&R Actualizado,,44218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT073,Micrómetro análogo,29/01/2021,29/01/2022,09/01/2022,Activo,INTERNO,".0001""",".0001""","5""","6""",69379,INT062,uso general,Santos Mata y Oscar Galindo,TALLER,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,30 de December del 1900,R&R Pendiente,R&R Actualizado,,44218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT076,"Micrómetro 0""-1""",05/05/2020,05/05/2021,15/04/2021,Baja,EXTERNO,".0001""",".0001""","0""","1""",37513,CERTIFICADO,TALLER,Guillermo Alcantar ,TALLER,N/A,,Baja,,,0,1,365.00,365.00,,,5 de May del 2020,5 de May del 2021,R&R Pendiente,365,,28 de April del 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT078,BASCULA BRAUNKER,08/01/2021,08/01/2023,19/12/2022,Activo,INTERNO,1grs,1grs,1grs,10Kgs,CG4024,INT088,MOLDEO,,,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,,30 de December del 1901,R&R Pendiente,R&R Actualizado,,44197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT079,BASCULA TOR-REY,08/01/2021,08/01/2022,19/12/2021,Activo,EXTERNO,N/A,N/A,0,5kg,F01-00446,INT088,Produccion,Produccion,Engel 2,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT081,BASCULA SUPER II,20/08/2020,20/08/2021,31/07/2021,Activo,INTERNO,10g,10g,1g,50Kgs,3906159,INT088,produccion,produccion,Linea BOS-6734-000 ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,,31 de octubre del 2011,30 de octubre del 2012,R&R Actualizado,365,,5 de septiembre del 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT082,BASCULA SUPER II,20/08/2020,20/08/2021,31/07/2021,Activo,INTERNO,10g,10g,1g,50Kgs,3906146,INT088,produccion,produccion,Linea EES-5107 ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,BASCULA SUPER II,#VALUE!,#VALUE!,R&R Actualizado,,44056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT083,Indicador,23/08/2019,22/08/2021,02/08/2021,Activo,EXTERNO,.0005¨,.0005¨,0¨,.25¨,24-306-3,CERTIFICADO,LABORATORIO,Juan Diaz/Adela Flores,,N/A,,Calibración Vigente,,,0,1,730.00,365.00,,Indicador,#VALUE!,#VALUE!,R&R Actualizado,,43693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT084,Medidor de profundidad,09/05/2019,08/05/2020,18/04/2020,Extraviado,EXTERNO,0.0001,0.0001,0,6¨,,CERTIFICADO,TALLER,Oscar Galindo,,N/A,,Extraviado,,Extraviado,0,1,365.00,365.00,,40842,25 de October del 2012,R&R Pendiente,R&R Actualizado,,43587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT085,Indicador de altura,20/02/2019,20/02/2020,31/01/2020,Reparacion,INTERNO,".0005""",".0005""",0,".0001""",10717,INT062,LABORATORIO,Juan Diaz/Adela Flores,Metrología Planta Tecnology,N/A,,Reparacion,,,0,1,365.00,365.00,,Indicador de altura,#VALUE!,#VALUE!,R&R Actualizado,,43509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT086,Indicador,29/06/2020,29/06/2021,09/06/2021,Activo,INTERNO,".0005""",".0005""","0""",".5""",1936,INT062,Calidad,Metrologia,Metrología ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40848,31 de October del 2012,R&R Pendiente,R&R Actualizado,,44004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT087,Analizador de humedad,07/09/2020,07/09/2021,18/08/2021,Activo,EXTERNO,NA,NA,0,200G,3886,CERTIFICADO,Procesos,Procesos,Procesos ,N/A,,Calibración Vigente,,,0,1,365.00,365.00,,40850,2 de November del 2012,R&R Pendiente,R&R Actualizado,,44074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT088,Marco de pesas,09/04/2021,09/04/2022,20/03/2022,Activo,EXTERNO,MULTIRESOLUSION,MULTIRESOLUSION,1G,1K,N/A,CERTIFICADO,LABORATORIO,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Vigente,,FLOME,0,1,365.00,365.00,,40850,2 de November del 2012,R&R Pendiente,R&R Actualizado,,44288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT089,Calibrador digital,24/10/2019,23/10/2020,03/10/2020,Extraviado,INTERNO,.0005¨,.0005¨,0¨,6,5595099,INT062,laboratorio Metrologia,Adela flores,Laboratorio Metrología,N/A,,Extraviado,,,0,1,365.00,365.00,,40851,3 de November del 2012,R&R Pendiente,R&R Actualizado,,43755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
