ID,Descripción,Fecha de Verificacion,Próxima Verificacion,Calendario de Verificacion,Estado,Método de Verificacion calibracion,Error de equipo,,Resolucion,,N° de Serie,ID de equipo con el que se verifica / Calibra  ,Usuario,Responsable,Ubicación,Formato,Verificacion de Etiquta (ID y Fecha),Status,Prove-Calibracion,Verifico,Fuera de Calibración,,% de Gages Calibrados,Numero de folio,,,Calibración Aceptada,Calibración Pendiente,En Proceso de Calibración,,Buscar,44384.34421,>=,44377.34421,44364.34421,>=44364.3442065972,44384.34421,>=44377.3442065972
INT673,Dinamómetro,17/02/2021,17/02/2022,28/01/2022,Activo,EXTERNO,N/A,NA,0.0098N,98.066N,4103782,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT672,Indicador de Caratula,27/04/2021,27/04/2022,07/04/2022,Activo,INTERNO,N/A,N/A,NA,NA,ALQF77,INT062/INT143,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT671,Indicador de Caratula,27/04/2021,27/04/2022,07/04/2022,Activo,INTERNO,N/A,N/A,NA,NA,ALQF68,INT062/INT143,Luis Arzola,Luis Arzola,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT670,Camara de Vision,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,5C910173,Dummies,Producción / Automatización,Francisco Rodríguez,Linea HEL-6151--YD#9,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT669,Camara de Vision,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,5C910172,Dummies,Producción / Automatización,Francisco Rodríguez,Linea HEL-6151--YD#9,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT668,Camara de Vision,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,5A910068,Dummies,Producción / Automatización,Francisco Rodríguez,Linea HEL-6151--YD#9,N/A,OK,Calibración Aceptada,,FLOME,0,0,365,365,44377.34421,44364.34421,Fecha de R&R,Próximo R&R,Status R&R,,,44377.34421,<=,41925.64752,42011.89634,<=42031.8963763889,42031.89638,
INT667,Camara de Vision,19/04/2021,19/04/2022,30/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,5A910067,Dummies,Producción / Automatización,Francisco Rodríguez,Linea HEL-6151--YD#9,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT666,Indicador de Caratula,05/04/2021,05/04/2022,16/03/2022,Activo,INTERNO,".0001""",".0001""",0,"1""",ASMT29,INT062/INT143,Diego Molina,Diego Molina,Taller Ingeniería,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT665,Indicador de Caratula,05/04/2021,05/04/2022,16/03/2022,Activo,INTERNO,".0001""",".0001""",0,"1""",ASMT28,INT062/INT143,Diego Molina,Diego Molina,Taller Ingeniería,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT664,Indicador de Caratula,05/04/2021,05/04/2022,16/03/2022,Activo,INTERNO,".0001""",".0001""",0,"1""",ASMT27,INT062/INT143,Diego Molina,Diego Molina,Taller Ingeniería,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT663,"Calibrador dig. 0-8""",26/03/2021,26/03/2022,06/03/2022,Activo,INTERNO,0.0005,0.0005,0,0.01,0000-413,INT062 Y INT143,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT662,Marcador # 30,09/04/2021,09/04/2022,20/03/2022,Referencia,INTERNO,N/A,NA,NA,NA,,NA,Estampados,Griselda Flores,Laboratorio Metrología,N/A,,Referencia,,,0,1,365,365,,,,,,,,,,,,,,
INT661,Camara de Vision,07/04/2021,07/04/2022,18/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,,Dummies,Producción / Automatización,Francisco Rodríguez,Linea BOS-9224-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT660,Camara de Vision,07/04/2021,07/04/2022,18/03/2022,Activo,INTERNO,N/A,N/A,NA,NA,,Dummies,Producción / Automatización,Francisco Rodríguez,Linea BOS-9224-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT659,"Micrometro Dig. 1-2""",22/02/2021,22/02/2022,02/02/2022,Activo,INTERNO,0.00005,0.00005,"1""","2""",67818574,INT062,Moises Zárate,Moises Zárate,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT658,"Micrometro Dig. 0-1""",13/01/2021,13/01/2022,24/12/2021,Activo,INTERNO,0.00005,0.00005,0,"1""",71110182,INT062,Martin Olmedo,Martin Olmedo,Taller Moldes,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT657,"Micrometro Dig. 0-1""",13/01/2021,13/01/2022,24/12/2021,Activo,INTERNO,0.00005,0.00005,0,"1""",71172890,INT062,Arturo Gónzalez,Arturo Gónzalez,Taller Moldes,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT656,Calibrador Dig.,09/02/2021,09/02/2022,20/01/2022,Activo,INTERNO,0.00005,0.00005,0,"6""",B20071139,INT062,Arturo Alvárez,Arturo Alvárez,Cold Forging,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT655,Jgo de Pines Guages,07/05/2021,07/05/2022,17/04/2022,Activo,EXTERNO,N/A,NA,"0.061""","0.25""",J138319,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT654,Hypot Ultra III MODEL:07820,11/11/2020,11/11/2021,22/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,9750381,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Rotary HEL-6798-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT653,Hypot Ultra III MODEL:07820,11/11/2020,11/11/2021,22/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,9750380,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,BRO-10027-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT652,"Calibrador Dig. 0-8""",11/12/2020,11/12/2021,21/11/2021,Activo,INTERNO,0.0005,0.0005,0,"6""",B20046795,INT062 Y INT143,Marcelo Cortes,Marcelo Cortes,Mantenimiento,N/A,OK,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT651,Gauge de Trasmision,30/07/2019,30/07/2024,10/07/2024,Activo,EXTERNO,0.1,0.1,30.7,30.9,CH:21093 31 %,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,1827,365,,,,,,,,,,,,,,
INT650,"Micrometro dig. 0-1""",03/11/2020,03/11/2021,14/10/2021,Activo,INTERNO,0.00005,0.00005,0,"1""",66723333,INT062,Daniel Hernandez G.,Daniel Hernandez G.,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT649,"Calibrador dig. 0-8""",03/11/2020,03/11/2021,14/10/2021,Activo,INTERNO,0.00005,0.00005,0,"8""",A19264734,INT062 y  INT143,Daniel Hernandez G.,Daniel Hernandez G.,Taller Moldes,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT648,Multimetro Klein Tools,21/10/2020,21/10/2021,01/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Jorge Torres,Jorge Torres,Mantenimiento,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT647,Multimetro Klein Tools,21/10/2020,21/10/2021,01/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Jorge Torres,Jorge Torres,Mantenimiento,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT646,Multimetro Klein Tools,21/10/2020,21/10/2021,01/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Jorge Torres,Jorge Torres,Mantenimiento,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT645,Multimetro Klein Tools,21/10/2020,21/10/2021,01/10/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Jorge Torres,Jorge Torres,Mantenimiento,N/A,OK,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT644,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,BRO-9112-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT643,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,BRO-9112-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT642,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,BRO-9112-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT641,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea VAL-6652-000 Capacitor Murata,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT640,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,16060244,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea VAL-6652-000 Capacitor Epcos,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT639,Welding Test AMADA,31/08/2020,31/08/2021,11/08/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,16060245,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea VAL-6652-000 TAB,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT638,Welding Test #2,19/08/2020,19/08/2021,30/07/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,R17121153,CERTIFICADO,Cold Forging,Blas Castañeda,Cold Forging Welding ,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT637,Welding Test  #1,19/08/2020,19/08/2021,30/07/2021,Activo,EXTERNO,N/A,N/A,N/A,N/A,R17121149,CERTIFICADO,Cold Forging,Blas Castañeda,Cold Forging Welding ,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT636,Perfilometro Keyence,23/12/2019,22/12/2022,02/12/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,C8910015,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea VAL-8422-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,1095,365,,,,,,,,,,,,,,
INT635,Perfilometro Keyence,23/12/2019,22/12/2022,02/12/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,C8910020,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea VAL-8422-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,1095,365,,,,,,,,,,,,,,
INT634,Multimetro Klein Tools,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,DV0710,CERTIFICADO,Humberto Mondragon,Humberto Mondragon,Facilities,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT633,Medidor de altura (Sensor),02/07/2021,02/07/2022,12/06/2022,Activo,INTERNO,N/A,N/A,N/A,N/A,BS613336,INT-062,Produccion / Moldeo,Francisco Rodríguez,Linea BOS-6194 ,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT632,Bascula Ohaus Pioneer,20/07/2020,20/07/2021,30/06/2021,Activo,INTERNO,N/A,N/A,N/A,N/A,B941397976,INT088,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,En Proceso de Calibración,en/cot,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT631,HIOKI  IM3523 LCR,23/06/2021,23/06/2022,03/06/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,180929210,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea de Brose 9112,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT630, KEITHLEY 2460 Sourcer Meter,23/06/2021,23/06/2022,03/06/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,4424417,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea de Brose 9112,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT629,Hypot KEITHLEY 2410,23/06/2021,23/06/2022,03/06/2022,Baja,EXTERNO,N/A,N/A,N/A,N/A,4440324,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Linea de Brose 9112,N/A,,Baja,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT628,Bascula Lantech,12/03/2021,12/03/2022,20/02/2022,Activo,EXTERNO,N/A,N/A,0,1000kg,QM029052,CERTIFICADO,Personal de Almacen,Karla Ramos,Almacen de Embarques,N/A,OK,Calibración Aceptada,en/cot,CERT,0,1,365,365,,,,,,,,,,,,,,
INT627,Amperimetro Klein Tools,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,N/A,N/A,N/A,N/A,0418C-A1,CERTIFICADO,Humberto Mondragon,Humberto Mondragon,Facilities,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT626,Perfilometro,09/09/2020,09/09/2023,20/08/2023,Activo,EXTERNO,N/A,N/A,N/A,N/A,38710239,CERTIFICADO,Producción / Automatización,Francisco Rodríguez,Rotary BRO-10027-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,1095,365,,,,,,,,,,,,,,
INT625,Perfilometro,09/09/2020,09/09/2023,20/08/2023,Activo,EXTERNO,N/A,N/A,N/A,N/A,38710238,Dummis,Producción / Automatización,Francisco Rodríguez,Rotary BRO-10027-001,N/A,OK,Calibración Aceptada,,FLOME,0,1,1095,365,,,,,,,,,,,,,,
INT624,Perfilometro,17/02/2020,16/02/2021,27/01/2021,Baja,EXTERNO,N/A,N/A,N/A,N/A,68711187,Dummis,Producción / Automatización,Francisco Rodríguez,Rotary VAL-8422-000,N/A,,Baja,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT623,Bascula Torrey 20 KG,20/05/2021,20/05/2022,30/04/2022,Activo,INTERNO,N/A,N/A,0,20KG,L19-001819,INT088,Veronica Davalos,Veronica Davalos,Area de Scrap,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT622,Bascula Torrey 20 KG,20/05/2021,20/05/2022,30/04/2022,Activo,INTERNO,N/A,N/A,0,20KG,F19-001825,INT088,Rodrigo  Gamez,Rodrigo  Gamez,Produccion de estampados,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT621,Bascula Torrey 20 KG,20/05/2021,20/05/2022,30/04/2022,Activo,INTERNO,N/A,N/A,0,20KG,L19-001299,INT088,Rodrigo  Gamez,Rodrigo  Gamez,Produccion de estampados,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT620,Camara de Vision,15/05/2021,15/05/2022,25/04/2022,Activo,INTERNO,N/A,N/A,N/A,N/A,,R&R,Producción / Automatización,Francisco Rodríguez,Linea HEL-6151-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT619,"Calibrador Dig. 0-6""",09/04/2021,09/04/2022,20/03/2022,Activo,INTERNO,".0005""",".0005""",0,"6""",A19348537,INT062 Y INT143,Ricardo Collazo,Ricardo Collazo,Taller corte por hilo,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT618,"Micrometro 0-1""",09/04/2021,09/04/2022,20/03/2022,Activo,INTERNO,".0005""",".0005""",0,"1""",67760036,INT062,Ricardo Collazo,Ricardo Collazo,Taller corte por hilo,N/A,,Calibración Aceptada,,,0,1,365,365,,,,,,,,,,,,,,
INT617,Lector de codigo,,,#VALUE!,,INTERNO,,,,,,,Produccion,Produccion,Linea COT-8585-000,N/A,,0,,,0,1,365,365,,,,,,,,,,,,,,
INT616,Camara de Vision,18/02/2021,18/02/2022,29/01/2022,Activo,INTERNO,N/A,N/A,N/A,N/A,282136618,Dummis,Producción / Automatización,Francisco Rodríguez,Linea de Brose-10024 (Dana).,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT615,Camara de Vision,15/05/2021,15/05/2022,25/04/2022,Activo,INTERNO,N/A,N/A,,,,Dummis,Producción / Automatización,Francisco Rodríguez,Linea de Brose-10024 (Dana).,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT614,HYPOTGPT-9602,12/11/2020,12/11/2021,23/10/2021,Activo,EXTERNO,,,,,,,Producción / Automatización,Francisco Rodríguez,Linea Dana-10024-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT613,HYPOTGPT-9602,23/06/2021,23/06/2022,03/06/2022,Activo,EXTERNO,N/A,N/A,0,5kg,f01-00446,INT088,Producción / Automatización,Francisco Rodríguez,Linea Brose-X69F-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT612,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT611,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT610,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Produccion / Moldeo,Griselda Flores,Linea BOS-9224-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT609,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,,CERTIFICADO,Arturo Alvárez,Arturo Alvárez,Cold Forging,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT608,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,,CERTIFICADO,Arturo Alvárez,Arturo Alvárez,Cold Forging,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT607,Mesa de granito 20X15 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,,CERTIFICADO,Arturo Alvárez,Arturo Alvárez,Cold Forging,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT606,Bascula Torrey QC-20,15/05/2021,15/05/2022,25/04/2022,Activo,INTERNO,N/A,N/A,0,20KG,A18-000384,INT088,Produccion / Moldeo,Griselda Flores,Linea SEM-8546-000 Bat.9-7,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT605,Mesa de granito 30X25 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Santos Mata,Santos Mata,Corte por hilo,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT604,Mesa de granito 46X31 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Santos Mata,Santos Mata,Corte por hilo,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT603,Mesa de granito 46X31 CM,21/05/2020,21/05/2022,01/05/2022,Activo,EXTERNO,N/A,N/A,,,N/A,CERTIFICADO,Santos Mata,Santos Mata,Corte por hilo,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT602,"Calibrador Digimatic 0-6""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"6""",A19348538,INT062,Christian Emanuel Cervantes,Christian Emanuel Cervantes,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT601,"Micrometro Digimatic 0-1""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"1""",66761748,INT062,Christian Emanuel Cervantes,Christian Emanuel Cervantes,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT600,"Calibrador Digimatic 0-8""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"8""",B19214183,INT062 Y INT143,Ricardo Iñiguez Medina,Ricardo Iñiguez Medina,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT599,"Micrometro Digimatic 0-1""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"1""",67760037,INT062,Ricardo Iñiguez Medina,Ricardo Iñiguez Medina,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT598,"Calibrador Digimatic 0-8""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"8""",B19214187,INT062 Y INT143,Adrian Pérez Briseño,Adrian Pérez Briseño,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT597,"Micrometro Digimatic 0-1""",13/04/2021,13/04/2022,24/03/2022,Activo,INTERNO,0.0005,0.0005,0,"1""",66772505,INT062,Adrian Pérez Briseño,Adrian Pérez Briseño,Taller Estampado,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT596,Manometro 30 PSI,15/01/2021,16/01/2024,27/12/2023,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,1096,365,,,,,,,,,,,,,,
INT595,Surface  Rugo. MITUTOYO,25/05/2021,25/05/2022,05/05/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,700101310,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,365,365,,,,,,,,,,,,,,
INT594,Medidor de Flujo,15/01/2021,15/01/2023,26/12/2022,Activo,EXTERNO,CERTIFICADO,CERTIFICADO,CERTIFICADO,CERTIFICADO,,CERTIFICADO,Personal Calidad,Griselda Flores,Laboratorio Metrología,N/A,OK,Calibración Aceptada,,FLOME,0,1,730,365,,,,,,,,,,,,,,
INT593,Camara de Vision,24/01/2021,23/01/2022,03/01/2022,Activo,INTERNO,N/A,N/A,N/A,N/A,53310039,Dummis,Producción / Automatización,Francisco Rodríguez,BOS-9917-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,364,365,,,,,,,,,,,,,,
INT592,Camara de Vision,24/01/2021,23/01/2022,03/01/2022,Activo,INTERNO,N/A,N/A,N/A,N/A,5L710480,Dummis,Producción / Automatización,Francisco Rodríguez,BOS-9917-000,N/A,OK,Calibración Aceptada,,FLOME,0,1,364,365,,,,,,,,,,,,,,
